date,description,amount
2026-01-02,Paycheck Deposit,2400.00
2026-01-03,Starbucks Downtown,-6.45
2026-01-03,Whole Foods Market,-87.32
2026-01-04,Uber Trip,-18.20
2026-01-05,Netflix,-15.49
2026-01-06,Rent Payment,-1450.00
2026-01-07,Shell Gas Station,-42.18
2026-01-08,Starbucks Downtown,-5.75
2026-01-09,Amazon,-34.99
2026-01-10,Trader Joes,-62.40
2026-01-11,Spotify,-9.99
2026-01-12,Chipotle Mexican Grill,-14.25
2026-01-13,CVS Pharmacy,-22.10
2026-01-14,Uber Trip,-12.45
2026-01-15,Paycheck Deposit,2400.00
2026-01-16,Starbucks Downtown,-6.45
2026-01-17,Gym Membership,-49.00
2026-01-18,Doordash,-28.50
2026-01-19,Electric Bill,-95.14
2026-01-20,Whole Foods Market,-112.85
2026-01-22,Amazon,-18.77
2026-01-23,Starbucks Downtown,-7.10
2026-01-24,Costco,-215.42
2026-01-25,Uber Trip,-15.30
2026-01-26,Chipotle Mexican Grill,-12.95
2026-01-27,Unknown Large Charge,-487.65
2026-01-28,Amazon,-45.22
2026-01-29,Starbucks Downtown,-6.45
2026-01-30,Trader Joes,-58.90
2026-02-01,Paycheck Deposit,2400.00
2026-02-02,Rent Payment,-1450.00
2026-02-03,Netflix,-15.49
2026-02-03,Netflix,-15.49
2026-02-04,Starbucks Downtown,-6.45
2026-02-05,Whole Foods Market,-94.27
2026-02-06,Uber Trip,-22.10
2026-02-07,Shell Gas Station,-48.50
2026-02-08,Amazon,-67.33
2026-02-09,Chipotle Mexican Grill,-13.40
2026-02-10,Spotify,-9.99
2026-02-11,Starbucks Downtown,-6.45
2026-02-12,Gym Membership,-49.00
2026-02-13,Doordash,-31.25
2026-02-14,Target,-78.45
2026-02-15,Paycheck Deposit,2400.00
2026-02-16,Verizon Wireless,-85.00
2026-02-17,Uber Trip,-19.80
2026-02-18,Whole Foods Market,-102.14
2026-02-19,Amazon,-23.50
2026-02-20,Starbucks Downtown,-6.75
2026-02-21,Trader Joes,-71.20
2026-02-22,Costco,-198.33
2026-02-23,CVS Pharmacy,-15.85
2026-02-24,Chipotle Mexican Grill,-14.10
2026-02-25,Electric Bill,-102.75
2026-02-26,Uber Trip,-16.50
2026-02-27,Starbucks Downtown,-6.45
2026-02-28,Netflix,-15.49
